Timestamp,Се декларирам како:,Која алатка ја користиш примарно при работа? ,Работам...,Работам на позиција,Вкупен износ на примања (нето износ) на месечно ниво во денари,Колку луѓе се дел од вашиот тим или колку вработени има во компанијата?,Мојот примарен оперативен систем е:,Првиот чекор при дизајн (prototyping/wireframing) ми започнува со:,Што ви пречи во процесот на регрутирање?,Што Ви е најважно кога барате работа? ,Што најмногу ви пречи на работното место?,Што е првото нешто што го преземате кога не сте задоволни од работното место?,Дали поседуваш дополнителни сертификати поврзани со дејноста во која работиш?,Каде прво барате огласи за нови работни позиции?,Пол,Возраст,Степен на образование,Примарен извор на моето знаење за дизајн е:,Колку години се занимаваш со оваа професија?,Заборавивме нешто? Пиши нѝ коментар
2/10/2019 11:46:26,Графички дизајнер,Corel,фриленс,Middle,30000,Само јас,Windows,Таблет за цртање,Нетранспарентност во процесот на одредување на платата,Добар баланс помеѓу работата и приватниот живот,Лошо дефинирани работни обврски,Ниту едно од наведените,Не и не планирам,Социјални медиуми,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,Да живее Република Македонија
2/10/2019 13:06:46,Графички дизајнер,Illustrator,"фриленс, Сценографија",Junior,15000,1-10,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Технологијата и алатките кои ми ги обезбедува компанијата","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа",Работам со минимално вложување на труд,Да,Социјални медиуми,Женски,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/10/2019 17:05:52,Графички дизајнер,Illustrator,во домашна компанија,Junior,18000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки",нема,Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,18-24,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/10/2019 17:15:41,Видео Генералист и Арт или Креативен Директор,Аfter Effects,"фриленс, Во странство",Senior,60000,1-10,Windows,Таблет за цртање,Недоволно информации за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Стабилност на компанијата, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот","Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/10/2019 18:29:48,Графички дизајнер,Photoshop,во домашна компанија,Middle,26000,1-10,Mac,Photoshop,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој","Лоша интерна организација, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,25-34,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/10/2019 21:24:07,Арт или креативен директор,Illustrator,"во домашна компанија, фриленс",Senior,64000,1-10,Windows,Лист и хартија,Ништо,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата",Несоодветен менаџмент за проектите,Зборувам со менаџерот/претпоставениот,Не и не планирам,Социјални медиуми,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/10/2019 22:48:05,Графички дизајнер,Illustrator,во домашна компанија,Senior,48000,11 - 100,Mac,Лист и хартија,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Не и не планирам,Се информирам преку познаници,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,11-15 години,
2/10/2019 23:56:33,Графички дизајнер,Illustrator,"фриленс, remote за домашна компанија",Lead,15000,1-10,Windows,Лист и хартија,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Можност за работа од дома (remote work), Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/11/2019 2:14:06,Графички дизајнер,Photoshop,фриленс,Junior,150000,Само јас,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Неточен краен рок, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Не и не планирам,Социјални медиуми,Машки,Под 18,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/11/2019 4:39:15,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Junior,15000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work)","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,IT.mk и IT.mk/Kariera,Машки,18-24,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/11/2019 12:55:15,Арт или креативен директор,Photoshop,во домашна компанија,Senior,31000,1-10,Windows,Illustrator,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/12/2019 0:14:37,Motion Graphics дизајнер,After Effects,во домашна компанија,Middle,22000,1-10,Windows,After Effects,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Недостаток на тимска работа",Не би ја препорачал компанијата на други,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/12/2019 6:43:26,Графички дизајнер,Illustrator,во претставништво на странска компанија во Македонија,Middle,33,1-10,Mac,Illustrator,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки",Лоша интерна организација,Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,18-24,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/12/2019 9:37:32,Motion Graphics дизајнер,Maya,фриленс,Middle,25000,Само јас,Windows,Photoshop,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Машки,18-24,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",11-15 години,
2/12/2019 10:42:44,UX дизајнер,Figma,во домашна компанија,Junior,18000,11 - 100,Windows,InVision,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Машки,18-24,Средно образование,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/12/2019 12:02:45,Графички дизајнер,Illustrator,фриленс,Middle,9000,Само јас,Windows,Illustrator,Brainteasers или слични тестови кои не се релевантни за работната позиција,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Можност за работа од дома (remote work), Флексибилност во работното време","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лошо дефинирани работни обврски","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,25-34,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/12/2019 15:30:21,Веб дизајнер,Sketch,во претставништво на странска компанија во Македонија,Senior,360000,11 - 100,Mac,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција","Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Социјални медиуми,Машки,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/12/2019 15:51:49,Графички дизајнер,Illustrator,во домашна компанија,Middle,20000,11 - 100,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Ниту едно од наведените,Да,Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",помалку од 5,
2/12/2019 19:59:13,Графички дизајнер,Photoshop,Prodavac,Middle,12000,1-10,Windows,Photoshop,Недоволно информации за работната позиција,Можност за учење и развој,Сѐ е со највисок приоритет (притисок при работа),Зборувам со менаџерот/претпоставениот,Да,Се информирам преку познаници,Машки,18-24,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/12/2019 23:23:03,Графички дизајнер,Photoshop,фриленс,Senior,60000,1-10,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок",Зборувам со менаџерот/претпоставениот,Не и не планирам,Други македонски портали за огласи,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/14/2019 11:01:56,"Инженер за развој , истаржување и технологија ","SOLIDWORKS, ALTAIR, MAGMA","во домашна компанија, фриленс",Middle,24000,1-10,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Лоша интерна организација, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ","Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/15/2019 17:58:56,Веб дизајнер,Photoshop,фриленс,Senior,18,Само јас,Windows,Лист и хартија,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Можност за работа од дома (remote work), Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Лоша интерна организација, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,18-24,Уште студирам дипломски,"Платени онлајн курсеви (Udemy, Code Academy...)",помалку од 5,
2/16/2019 17:36:37,UX дизајнер,Sketch,remote за странска компанија,Практикант,40000,1-10,Windows,Sketch,Недоволно информации за работната позиција,Можност за учење и развој,Лошо дефинирани работни обврски,Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,25-34,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/16/2019 22:20:34,UX дизајнер,Figma,во претставништво на странска компанија во Македонија,Middle,52000,11 - 100,Mac,Figma,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Компаниската култура, Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Се информирам преку познаници,Женски,18-24,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/17/2019 13:57:42,Графички дизајнер,Illustrator,во домашна компанија,Lead,20000,501 - 1000,Windows,Лист и хартија,"Недоволно информации за работната позиција, Brainteasers или слични тестови кои не се релевантни за работната позиција","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Други македонски портали за огласи,Машки,25-34,Средно образование,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/17/2019 23:53:37,Веб дизајнер,Photoshop,Ne sum vraboten,Практикант,4500,1-10,Windows,Photoshop,"Долг и бавен процес на интервјуирање, Нетранспарентност во процесот на одредување на платата","Плата и бонуси, Локација на работното место, Можност за работа од дома (remote work), Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски",Не би ја препорачал компанијата на други,"Не, но активно разгледувам опции за сертифицирање",Социјални медиуми,Машки,18-24,Уште студирам дипломски,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",помалку од 5,
2/18/2019 9:29:46,Веб дизајнер,Figma,во претставништво на странска компанија во Македонија,Senior,40000,1-10,Windows,Photoshop,"Долг и бавен процес на интервјуирање, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Локација на работното место, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа)",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Машки,35-44,Средно образование,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",11-15 години,
2/18/2019 10:24:41,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Senior,30000,11 - 100,Windows,Лист и хартија,Нетранспарентност во процесот на одредување на платата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Компаниската култура, Стабилност на компанијата, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,Веб страните на компаниите,Женски,25-34,Завршени дипломски студии,Дипломските и додипломските студии,5-10 години,
2/18/2019 11:02:59,Графички дизајнер,3ds Max,remote за странска компанија,Junior,30000,11 - 100,Dual-boot,InDesign,Немање доволно информации за компанијата,Тренинзи и обуки,Лошо дефинирани работни обврски,Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Уште студирам дипломски,"Обука во локални специјализирани центри (Semos, SEDC, Brainster...)",5-10 години,
2/18/2019 22:23:42,Продукт дизајнер,Photoshop,Во странство,Lead,135000,101 - 500,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање, Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Неточен краен рок, Лошо дефинирани работни обврски, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Други македонски портали за огласи,Машки,35-44,Завршени постдипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",11-15 години,
2/19/2019 9:22:51,Графички дизајнер,Illustrator,во домашна компанија,Junior,13000,Само јас,Windows,Illustrator,Нетранспарентност во процесот на одредување на платата,Плата и бонуси,Недостаток на тимска работа,Работам со минимално вложување на труд,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Машки,25-34,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/19/2019 17:17:39,Арт или креативен директор,Blender,фриленс,Middle,9000,Само јас,Windows,Blender,"Brainteasers или слични тестови кои не се релевантни за работната позиција, Нетранспарентност во процесот на одредување на платата, Немање доволно информации за компанијата","Добар баланс помеѓу работата и приватниот живот, Плата и бонуси, Можност за работа од дома (remote work), Флексибилност во работното време, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Работам со минимално вложување на труд,Да,freelancer sites,Машки,45-54,Завршени дипломски студии,"Самоиницијативно учење и бесплатни туторијали онлајн (Google, YouTube...)",5-10 години,
2/20/2019 18:02:54,Графички дизајнер,Illustrator,"во домашна компанија, во претставништво на странска компанија во Македонија, фриленс",Senior,26000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата","Лошо напишана документација, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,"Не, но активно разгледувам опции за сертифицирање",Се информирам преку познаници,Машки,45-54,Завршени дипломски студии,Пракса во компанија или печатница,повеќе од 20 години,
2/20/2019 23:20:23,Графички дизајнер,Photoshop,во домашна компанија,Lead,12500,1-10,Windows,Photoshop,Нетранспарентност во процесот на одредување на платата,Можност за учење и развој,Лоша интерна организација,Ниту едно од наведените,"Не, но активно разгледувам опции за сертифицирање",Други македонски портали за огласи,Женски,18-24,Уште студирам дипломски,Дипломските и додипломските студии,помалку од 5,
2/21/2019 9:19:41,Sorabotnik it,Offise,Vo instituci,Sorabotnik vo drzhavna institucija,23000,1-10,Windows,Лист и хартија,Немање доволно информации за компанијата,"Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Локација на работното место, Стабилност на компанијата, Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Технологијата и алатките кои ми ги обезбедува компанијата, Тренинзи и обуки","Лошо напишана документација, Сѐ е со највисок приоритет (притисок при работа), Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите",Зборувам со менаџерот/претпоставениот,Да,IT.mk и IT.mk/Kariera,Женски,35-44,Завршени дипломски студии,Дипломските и додипломските студии,11-15 години,
2/21/2019 11:02:21,UX дизајнер,Photoshop,во домашна компанија,Junior,18000,1-10,Windows,Лист и хартија,"Недоволно информации за работната позиција, Долг и бавен процес на интервјуирање","Добар баланс помеѓу работата и приватниот живот, Можност за учење и развој, Плата и бонуси, Интересни проблеми за решавање/проектот на кој ќе работам, Можност за работа од дома (remote work), Флексибилност во работното време, Тренинзи и обуки","Сѐ е со највисок приоритет (притисок при работа), Неточен краен рок, Лоша интерна организација, Лошо дефинирани работни обврски, Недостаток на тимска работа, Несоодветен менаџмент за проектите","Наоѓам друга работа, па тогаш давам отказ",Да,Веб страните на компаниите,Машки,45-54,Завршени дипломски студии,Дипломските и додипломските студии,помалку од 5,
2/28/2019 13:03:42,Графички дизајнер,Illustrator,"во домашна компанија, фриленс",Middle,40000,1-10,Mac,Лист и хартија,"Недоволно информации за работната позиција, Нетранспарентност во процесот на одредување на платата","Можност за учење и развој, Интересни проблеми за решавање/проектот на кој ќе работам, Компаниската култура, Стабилност на компанијата, Можност за работа од дома (remote work), Флексибилност во работното време, Профилот и искуството на другите вработени во тимот, Тренинзи и обуки","Неточен краен рок, Лоша интерна организација",Зборувам со менаџерот/претпоставениот,Да,Социјални медиуми,Женски,25-34,Завршени дипломски студии,praksa,помалку од 5,
